date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:33	73997/73997	---M-Z	200	added ('OK')	text/html	etag:%221210d-5d5464def884c-gzip%22	https://themesdesign.in/zoric-react/layout/index-1.html	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/index-1.html	(from )
22:08:36	278/278	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2016:38:35%20GMT	https://themesdesign.in/robots.txt		(from )
22:08:36	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223c2e-5d5464def0b4a%22	https://themesdesign.in/zoric-react/layout/images/favicon.ico	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/favicon.ico	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:37	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%2228021-5d5464deead88-gzip%22	https://themesdesign.in/zoric-react/layout/css/bootstrap.min.css	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/css/bootstrap.min.css	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:38	274146/274146	---M-Z	200	added ('OK')	text/css	etag:%2242ee2-5d5464deead88-gzip%22	https://themesdesign.in/zoric-react/layout/css/materialdesignicons.min.css	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/css/materialdesignicons.min.css	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:39	13746/13746	---M-Z	200	added ('OK')	text/css	etag:%2235b2-5d5464deead88-gzip%22	https://themesdesign.in/zoric-react/layout/css/glightbox.min.css	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/css/glightbox.min.css	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:40	28357/28357	---M-Z	200	added ('OK')	text/css	etag:%226ec5-5d5464deead88-gzip%22	https://themesdesign.in/zoric-react/layout/css/style.min.css	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/css/style.min.css	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:41	2884/2884	---M--	200	added ('OK')	image/png	etag:%22b44-5d5464def690c%22	https://themesdesign.in/zoric-react/layout/images/logo-light.png	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/logo-light.png	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:42	4741/4741	---M--	200	added ('OK')	image/png	etag:%221285-5d5464def690c%22	https://themesdesign.in/zoric-react/layout/images/logo-dark.png	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/logo-dark.png	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:44	128816/128816	---M--	200	added ('OK')	image/png	etag:%221f730-5d5464def596b%22	https://themesdesign.in/zoric-react/layout/images/home/home6-1.png	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/home/home6-1.png	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:44	6306/6306	---M--	200	added ('OK')	image/png	etag:%2218a2-5d5464def0b4a%22	https://themesdesign.in/zoric-react/layout/images/feature/img-01.png	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/feature/img-01.png	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:45	7886/7886	---M--	200	added ('OK')	image/png	etag:%221ece-5d5464def0b4a%22	https://themesdesign.in/zoric-react/layout/images/feature/img-02.png	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/feature/img-02.png	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:46	7107/7107	---M--	200	added ('OK')	image/png	etag:%221bc3-5d5464def0b4a%22	https://themesdesign.in/zoric-react/layout/images/feature/img-03.png	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/feature/img-03.png	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:47	6230/6230	---M--	200	added ('OK')	image/png	etag:%221856-5d5464def0b4a%22	https://themesdesign.in/zoric-react/layout/images/feature/img-04.png	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/feature/img-04.png	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:48	5490/5490	---M--	200	added ('OK')	image/png	etag:%221572-5d5464def0b4a%22	https://themesdesign.in/zoric-react/layout/images/feature/img-05.png	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/feature/img-05.png	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:49	7364/7364	---M--	200	added ('OK')	image/png	etag:%221cc4-5d5464def0b4a%22	https://themesdesign.in/zoric-react/layout/images/feature/img-06.png	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/feature/img-06.png	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:51	465743/465743	---M--	200	added ('OK')	image/jpeg	etag:%2271b4f-5d5464deefba9%22	https://themesdesign.in/zoric-react/layout/images/about.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/about.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:52	27650/27650	---M--	200	added ('OK')	image/jpeg	etag:%226c02-5d5464def884c%22	https://themesdesign.in/zoric-react/layout/images/users/img-5.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/users/img-5.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:53	431720/431720	---M--	200	added ('OK')	image/jpeg	etag:%2269668-5d5464deefba9%22	https://themesdesign.in/zoric-react/layout/images/achivements.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/achivements.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:53	72575/72575	---M--	200	added ('OK')	image/jpeg	etag:%2211b7f-5d5464def884c%22	https://themesdesign.in/zoric-react/layout/images/users/img-6.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/users/img-6.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:54	95142/95142	---M--	200	added ('OK')	image/jpeg	etag:%22173a6-5d5464def884c%22	https://themesdesign.in/zoric-react/layout/images/users/img-7.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/users/img-7.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:56	198565/198565	---M--	200	added ('OK')	image/jpeg	etag:%22307a5-5d5464def78ac%22	https://themesdesign.in/zoric-react/layout/images/users/img-2.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/users/img-2.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:57	164129/164129	---M--	200	added ('OK')	image/jpeg	etag:%2228121-5d5464def78ac%22	https://themesdesign.in/zoric-react/layout/images/users/img-1.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/users/img-1.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
22:08:58	168232/168232	---M--	200	added ('OK')	image/jpeg	etag:%2229128-5d5464def884c%22	https://themesdesign.in/zoric-react/layout/images/users/img-3.jpg	/Users/akshatnahata/websites/ecell/themesdesign.in/zoric-react/layout/images/users/img-3.jpg	(from https://themesdesign.in/zoric-react/layout/index-1.html)
